Время;№ шатра;Площадка;Мероприятие
13:00 – 13:30;2;ЭРА/ERA;"Медитация ""Дыхание Любви"""
13:00 – 13:50;42;Lamoda Sport х Loom;Хатха-йога Flow
13:00 – 13:50;8;СИДДХА КРИЙЯ-ЙОГА;"Медитация «Бабаджи Самьяма Дхьяна»&nbsp;— поиск ответов на&nbsp;глубинные вопросы"
13:00 – 13:30;47;Семейный лес;Практика: «Благодарность семье»
13:00 – 13:30;5;Мантра Релакс;Мантра Релакс - отдых в атмосфере мантр
13:00 – 14:00;6;Всё едино;"Медитативная практика для&nbsp;очистки от&nbsp;негатива и&nbsp;накачки энергией «Подкова»"
13:00 – 14:00;6;Всё едино;"Сакральная геометрия&nbsp;— энергия, гармония и&nbsp;трансформация. Лекция и&nbsp;медитация."
13:00 – 14:00;74;Академия биоэнергетики Андрея Захаревича;Энергоактивная йога. Практики дыхания.
13:00 – 13:30;72;Единение;Дегустация wellness-эликсиров Ayusoma и церемониального какао
13:00 – 14:00;19;Студия йоги критического выравнивания Херта ван Льюэна;Слепая зона движения: тазобедренные суставы
13:00 – 13:55;68;Федерация учителей Кундалини йоги РФ;«Активация солнечной энергии»
13:00 – 13:30;18;Путь к счастью;Злость. Лекция и практика
13:00 – 13:50;66;Центр аюрведы и йоги Керала;Аштанга-виньяса: динамичная йога для силы и гибкости
13:00 – 13:30;70;Сеть клиник «Атрея Аюрведа»;Перерыв
13:00 – 14:00;15;YOGALOVE;"Йога в&nbsp;гамаках"
13:00 – 13:15;27;Maya Veda;Энергетическая балансировка: чакры и меридианы тела (индивидуальная практика, нужна запись)
13:00 – 14:00;62;Lady Stretch Балашиха;Лимфо-драйв
13:00 – 16:00;62;Lady Stretch Балашиха;Расстановки по Хеллингеру
13:00 – 14:00;15;YOGALOVE;"Класс йоги «Искусство расслабления: кундалини, цигун и&nbsp;дыхание»"
13:00 – 14:00;71;AUM Healing Center;Практика Кундалини Йоги из простространства Сат Нам Расаян «Отношения с тобой/отношения с собой»
13:00 – 15:00;15;YOGALOVE;Т-игра «Три пути поиска истины»
13:00 – 14:00;48;Вы здоровы;Показательная диагностика. Проверка состояния тела
13:00 – 13:45;60;Psychologies;Экзистенциальное выгорание: профилактика и восстановление. Интерактивная лекция с практикумом.
13:00 – 14:00;20;Heartfulness;Heartfulness Yoga + медитация
13:00 – 14:00;67;ЙОЖ;Медитативная сказка в наушниках «ЙОЖ в Индии»
13:00 – 15:00;26;Про дреды / Pro dread;Мастер-класс по плетению косичек
13:15 – 14:45;17;Махасиддха Йога;Йога для здоровья - практика хатха-йоги для гармонизации меридианов
13:15 – 14:15;63;Женский Дом;Лекция от Дианы Паска Джалаловой
13:30 – 14:00;46;Школа ханга;Мастер-класс по игре на ханге
13:30 – 14:00;9;Садхгуру;Йога для здоровья. Медитация Чит Шакти для здоровья
13:30 – 14:00;72;Единение;Лекция: «Мышление на миллион : 3 способа, как в кризисной ситуации выйти в плюс»
13:30 – 14:00;47;Семейный лес;"Практика- «Частотная терапия&nbsp;— новый инструмент для&nbsp;самоисцеления и&nbsp;саморазвития»"
13:30 – 13:45;59;YOGI ROOM;диалог на ковриках «Как восстановиться за 3 минуты в городе»
13:30 – 14:00;29;ЛогоЙога;"ЛогоЙога: практика для&nbsp;детей и&nbsp;взрослых"
13:30 – 14:00;5;Мантра Релакс;Истинный смысл йоги и практики медитации
13:30 – 14:00;47;Семейный лес;"Живая встреча на&nbsp;тему «О&nbsp;силе семьи, природы и&nbsp;будущих поколений»"
13:30 – 14:30;73;Арт-Глубина «Пространство Изобилия»;Рисование состояния - Как переводить эмоции и внутренние ощущения в цвет и форму
13:30 – 15:30;70;Сеть клиник «Атрея Аюрведа»;Практика для снятия напряжения и усталости. Массаж шейно-воротниковой зоны специалистами клиники (10-15 минут на человека)
13:30 – 13:45;27;Maya Veda;Энергетическая балансировка: чакры и меридианы тела (индивидуальная практика, нужна запись)
13:30 – 14:30;65;Мастерская Танай Мари;Песни, пробуждающие генетическую память
13:30 – 14:30;37;Московский институт психоанализа;Арт-терапия: Эмоции и состояние
13:45 – 14:30;45;Уроки медитации;Коллективная медитвция
13:50 – 15:20;2;Цветок Жизни;"Практика «Знакомство с&nbsp;внутренней женщиной через ароматы». Женский круг. Медитативная практика «Знакомство с&nbsp;собой через аромат»."
14:00 – 15:30;48;Вы здоровы;Хатха-йога. Статика и динамика.Два аспекта работы внимания дхарана - концентрация и смрити - пямятование. Уровень практики открытый
14:00 – 14:40;18;Путь к счастью;"Йога ""Трансформация гнева"""
14:00 – 14:30;47;Семейный лес;"Чайная церемония с&nbsp;Алтайскими угощениями."
14:00 – 15:30;23;Leela Lounge / Лила Лаунж;4 Линейки демо-версии игры ЛИЛА
14:00 – 16:00;7;Амрит Нам Саровар;«Пробуждение Бодхи» специальный класс по КУндалини йое
14:00 – 15:00;20;Heartfulness;Heartfulness Yoga + медитация
14:00 – 15:00;6;Всё едино;"«Радость в&nbsp;каждом дне: основы и&nbsp;практика смехотерапии и&nbsp;йоги смеха»"
14:00 – 15:00;8;СИДДХА КРИЙЯ-ЙОГА;"ЛЕКЦИЯ Скрытый код гороскопа: как&nbsp;накшатры раскрывают вашу судьбу, таланты и&nbsp;кармические сценарии"
14:00 – 15:00;15;YOGALOVE;"Йога в&nbsp;гамаках"
14:00 – 14:30;46;Школа ханга;Мастер-класс по игре на ханге
14:00 – 15:30;14;Прана;«Поиск баланса», хатха-йога
14:00 – 15:00;19;Студия йоги критического выравнивания Херта ван Льюэна;Дыхание, отражающее целостность
14:00 – 16:00;28;Чаю Мир;Чайная церемония
14:00 – 15:00;12;Inside Flow Yoga;Inside Flow
14:00 – 15:30;14;Прана;"«Управляй энергией с&nbsp;помощью пранаямы», практика пранаямы"
14:00 – 15:00;49;Purity Sensation;Энергетический флешмоб (главная сцена)
14:00 – 14:15;10;МАНТРА ЙОГА;Лекция о мантра-медитации
14:00 – 14:45;16;Випассана центр Цветок Тишины;Софт Йога
14:00 – 15:00;29;ЛогоЙога;"«Аденоиды и&nbsp;отиты: может&nbsp;ли помочь йога?» лекция ЛОР-врача"
14:00 – 15:30;14;Прана;Арт-практика «Куда плывём»
14:00 – 15:30;14;Прана;Арт-практика «Трансформационная мандала»
14:00 – 14:30;47;Семейный лес;Практика: «Благодарность семье»
14:00 – 14:10;15;YOGALOVE;Индийский фьюжн: Танцевальный перформанс
14:00 – 16:00;28;Чаю Мир;«Большая семейная расстановка, соединение с ресурсами рода»
14:00 – 17:00;15;YOGALOVE;Т-игра «Путешествие йога»
14:00 – 16:00;15;YOGALOVE;"Рисуем и&nbsp;меняем судьбу «Ломаем препятствия на&nbsp;пути к&nbsp;цели»"
14:00 – 14:15;27;Maya Veda;Энергетическая балансировка: чакры и меридианы тела (индивидуальная практика, нужна запись)
14:00 – 15:10;13;МЫ ТУТ ТАНЦУЕМ;[СИЛА ДВУХ]: Танцевальное исцеление + экстатичные танцы
14:00 – 15:00;9;Садхгуру;Медитация Чудо Ума
14:00 – 15:00;71;AUM Healing Center;Класс Кундалини Йога из простространства Сат Нам Расаян «Внутренняя Свобода» + Самый большой гонг в Москве
14:00 – 15:00;50;Бабий Кут;Путь женских возрастных переходов от рождения до старости
14:00 – 14:30;72;Единение;Лекция: «Личный бренд.Смыслы.Идентичность»
14:00 – 15:00;2;ЭРА/ERA;"Практика ""Энергия Жизни"
14:00 – 15:30;56;Сноб;Сердце и чувства в большом городе. Телесные практики.
14:00 – 14:05;59;YOGI ROOM;Дыхательная практика для перезагрузки
14:00 – 14:50;42;Lamoda Sport х Loom;Йога для здоровой спины
14:00 – 14:30;5;Мантра Релакс;Йога звука - пусть звуки мантр согреют ваши сердца
14:00 – 14:45;60;Psychologies;"Практики психологической поддержки ""резиновая уточка, помощник саморегуляции в XXI веке"""
14:00 – 15:00;69;Простая медитация;"Метафорическая игра "" Свидание с собой"""
14:00 – 15:00;71;AUM Healing Center;Колективная звуковая практика АУМ + Звукотерапия
14:00 – 15:00;62;Lady Stretch Балашиха;Растяжка
14:00 – 15:30;37;Московский институт психоанализа;Мастер-класс: Чего я на самом деле хочу
14:00 – 14:55;68;Федерация учителей Кундалини йоги РФ;«Прана Видья: дыхание любви»
14:00 – 15:00;67;ЙОЖ;Медитативная сказка в наушниках «ЙОЖ потерял настроение»
14:00 – 14:50;66;Центр аюрведы и йоги Керала;Лекция «Агни против кортизола: как аюрведа восстанавливает нервную систему через пищеварение»
14:00 – 15:00;52;Экстатичные танцы Москва;Экстатичные танцы
14:00 – 15:00;74;Академия биоэнергетики Андрея Захаревича;Энергетическая подготовка к зачатию, беременности родов и послеродовому сопровождению
14:10 – 15:00;15;YOGALOVE;"Беседа «Йога&nbsp;— путь любви: связь души с&nbsp;Высшим»"
14:15 – 15:00;10;МАНТРА ЙОГА;Киртан (совместная практика мантр)
14:15 – 14:45;63;Женский Дом;Практика Сакрального танца
14:30 – 14:45;59;YOGI ROOM;диалог на ковриках «Баланс работы, тела и энергии»
14:30 – 15:00;72;Единение;Лекция: «Йога вне коврика: от внутренней опоры к проявленности и бизнес коллаборациям»
14:30 – 16:00;64;Иннердэнс;Сессия иннердэнс «МАТЕРЬиЯ. Единство с изобильной землей»
14:30 – 15:15;45;Уроки медитации;Асана класс с Мариной Чащиной
14:30 – 15:00;46;Школа ханга;Мастер-класс по игре на ханге
14:30 – 15:00;47;Семейный лес;"Медитация с&nbsp;поющими чашами на&nbsp;тему: «Послание в&nbsp;будущее»"
14:30 – 15:00;5;Мантра Релакс;Цигун- практика наполнения жизненной энергией
15:00 – 16:00;15;YOGALOVE;"Йога в&nbsp;гамаках"
15:00 – 18:00;6;Всё едино;"Трансформационная игра о&nbsp;самопознании «Селфика» /3 сеанса по&nbsp;1 ч./"
15:00 – 15:45;17;Махасиддха Йога;Йога для Вдохновения - артистический перформанс
15:00 – 15:50;66;Центр аюрведы и йоги Керала;Хатха йога для гибкости: как растянуться без боли и напряжения
15:00 – 16:00;72;Единение;Лекция + нетворкинг «Как стать звездой, лидером своей ниши?»
15:00 – 15:45;60;Psychologies;Бытие в контакте с собой и миром. Чувства как ресурс к развитию, благополучию и восстановлению. Лекция и практикум на основе трехмерной картины человека: тело, психика, душа
15:00 – 16:00;67;ЙОЖ;Танцевальная сказко-терапия «Маяк.Возращение к себе»
15:00 – 15:30;29;ЛогоЙога;"Как&nbsp;глотание влияет на&nbsp;зубы и&nbsp;осанку. Практический урок"
15:00 – 16:00;37;Московский институт психоанализа;Психология: Диалог и решение
15:00 – 17:00;21;ЭКО.СИСТЕМА;Дао Дар
15:00 – 16:00;2;ЭРА/ERA;"Семинар ""Мужчина и женщина нового времени"""
15:00 – 15:55;68;Федерация учителей Кундалини йоги РФ;«Любовь правит миром»
15:00 – 15:45;16;Випассана центр Цветок Тишины;Пробуждение в Три Шага (авторская методика) Тело • Сердце • Тишина ума
15:00 – 15:30;47;Семейный лес;"Чайная церемония с&nbsp;Алтайскими угощениями."
15:00 – 16:00;19;Студия йоги критического выравнивания Херта ван Льюэна;Толстый валик под крестец
15:00 – 16:00;50;Бабий Кут;Мастер-класс плетеный оберег из ниток
15:00 – 16:00;52;Экстатичные танцы Москва;Экстатичные танцы
15:00 – 16:00;12;Inside Flow Yoga;Inside Flow
15:00 – 15:15;10;МАНТРА ЙОГА;Лекция о мантра-медитации
15:00 – 16:00;62;Lady Stretch Балашиха;Йога-хатха
15:00 – 15:30;27;Maya Veda;Практика для восстановления ресурса (групповая практика до 10 чел)
15:00 – 16:00;65;Мастерская Танай Мари;Сила 4 стихий
15:00 – 16:00;74;Академия биоэнергетики Андрея Захаревича;Практика энергоактивной йоги
15:00 – 16:00;9;Садхгуру;Йога для умиротворения. (Нади-Шуддхи + медитация Чит Шакти для умиротворения)
15:00 – 15:30;46;Школа ханга;Мастер-класс по игре на ханге
15:00 – 16:00;73;Арт-Глубина «Пространство Изобилия»;Свободная живопись. Практика без правил и оценки результата
15:00 – 15:05;59;YOGI ROOM;Капалабхати - дыхание для подъема энергии
15:00 – 17:00;26;Про дреды / Pro dread;Мастер-класс по плетению расточек
15:00 – 16:00;15;YOGALOVE;"Акустический концерт «От&nbsp;сердца к&nbsp;сердцу»"
15:00 – 15:30;47;Семейный лес;"Практика- «Частотная терапия&nbsp;— новый инструмент для&nbsp;самоисцеления и&nbsp;саморазвития»"
15:00 – 15:50;42;Lamoda Sport х Loom;Хатха-йога с балансами для любого уровня подготовки
15:00 – 15:30;18;Путь к счастью;Страх. Лекция и практика
15:00 – 16:00;54;"ROXY &amp; PROWAKESURF";Лонгвейк. Равновесие будущего. Лекция.
15:00 – 15:30;5;Мантра Релакс;Йога нидра - божественное расcлабление
15:10 – 16:20;13;МЫ ТУТ ТАНЦУЕМ;Экстатичные танцы
15:15 – 16:00;10;МАНТРА ЙОГА;Киртан (совместная практика мантр)
15:20 – 16:00;45;Уроки медитации;Коллективная медитвция
15:30 – 17:00;69;Простая медитация;"Сакральное пеленание ""От сердца к сердцу"""
15:30 – 16:00;47;Семейный лес;"Чайная церемония с&nbsp;Алтайскими угощениями."
15:30 – 16:00;70;Сеть клиник «Атрея Аюрведа»;Перерыв
15:30 – 15:45;59;YOGI ROOM;диалог на ковриках «Йога как состояние
15:30 – 17:00;56;Сноб;Быть в ресурсе. Встреча с психологом
15:30 – 16:00;47;Семейный лес;"Живая встреча на&nbsp;тему «Что мы&nbsp;оставим после себя?»"
15:30 – 16:00;46;Школа ханга;Мастер-класс по игре на ханге
15:30 – 16:00;48;Вы здоровы;Звуковая релаксация в позе Шавасана
15:30 – 16:00;47;Семейный лес;"Живая встреча на&nbsp;тему «Что мы&nbsp;оставим после себя?»"
15:30 – 16:00;29;ЛогоЙога;"ЛогоЙога: практика для&nbsp;детей и&nbsp;взрослых"
15:30 – 16:00;49;Purity Sensation;Растяжка (стрейчинг)
15:30 – 16:30;20;Heartfulness;“Духовная Анатомия. 5 чакр района сердца” + Медитация
15:30 – 16:00;5;Мантра Релакс;Мантра Дайвинг-погружение в звуки йоги
15:40 – 16:10;27;Maya Veda;Практика для восстановления ресурса (групповая практика до 10 чел)
15:40 – 17:20;2;Цветок Жизни;"«Пробуждение чувств»&nbsp;— авторский тренинг Максима Житника на&nbsp;стыке психологии, телесных практик и&nbsp;актёрских техник."
15:45 – 16:30;16;Випассана центр Цветок Тишины;Беседа на тему: Тишина Ума в современном мире
16:00 – 17:00;15;YOGALOVE;"Йога в&nbsp;гамаках"
16:00 – 17:00;62;Lady Stretch Балашиха;Растяжка
16:00 – 17:00;19;Студия йоги критического выравнивания Херта ван Льюэна;Отпусти напряжение, получи легкость на планке под атлант.
16:00 – 17:00;48;Вы здоровы;Денежная групповая проработка запроса с применением кинезиологических методов через тело
16:00 – 16:30;5;Мантра Релакс;Экспресс - Медитация – ТРИ ТЕХНИКИ за 30 минут
16:00 – 17:00;67;ЙОЖ;Интервью с экспертами Йога Журнала
16:00 – 18:00;17;Махасиддха Йога;Йога для отношений - практика асан в паре
16:00 – 16:50;66;Центр аюрведы и йоги Керала;Пранаяма: 5 дыхательных техник, которые изменят вашу жизнь
16:00 – 18:00;15;YOGALOVE;Т-игра «Домино чат»
16:00 – 17:30;23;Leela Lounge / Лила Лаунж;4 Линейки демо-версии игры ЛИЛА
16:00 – 17:00;6;Всё едино;"Медитативная практика по&nbsp;гармонизации ауры «У-син»"
16:00 – 16:45;63;Женский Дом;Просмотр документальных фильмов
16:00 – 16:30;47;Семейный лес;Практика: «Благодарность семье»
16:00 – 16:45;18;Путь к счастью;Йога. Трансформация страха в опору.
16:00 – 16:30;46;Школа ханга;Мастер-класс по игре на ханге
16:00 – 18:00;7;Амрит Нам Саровар;"""Открытие силы"" класс по Кундалини йоге"
16:00 – 16:30;49;Purity Sensation;Групповая медитация «Путь к себе»
16:00 – 17:00;74;Академия биоэнергетики Андрея Захаревича;Временная регрессия. Сборка личной силы.
16:00 – 16:15;10;МАНТРА ЙОГА;Лекция о мантра-медитации
16:00 – 16:50;42;Lamoda Sport х Loom;Ecstatic Dance Flow
16:00 – 17:00;54;"ROXY &amp; PROWAKESURF";ROXY йога. SunShineYoga внутреннего сияния.
16:00 – 16:45;45;Уроки медитации;"Беседа с Дадой Абхидхьянанадой на тему ""Как работает ум: инструкция, которую нам не дали"""
16:00 – 17:00;12;Inside Flow Yoga;Inside Flow
16:00 – 16:30;47;Семейный лес;Практика: «Благодарность семье»
16:00 – 17:00;29;ЛогоЙога;"«Йога и&nbsp;прикус: где встречаются тело и&nbsp;лицо». Лекция ортодонта"
16:00 – 17:00;72;Единение;Лекция + практика «Расширение внутреннего калибра личности»
16:00 – 17:00;52;Экстатичные танцы Москва;Экстатичные танцы
16:00 – 16:55;68;Федерация учителей Кундалини йоги РФ;Женский класс: любовь и чувства в отношениях
16:00 – 17:30;14;Прана;"«Свободная шея и&nbsp;спина», йогатерапия"
16:00 – 17:30;37;Московский институт психоанализа;Отношения с деньгами: что за ними стоит на самом деле
16:00 – 17:00;2;ЭРА/ERA;Медитация близости
16:00 – 16:05;59;YOGI ROOM;Дыхательная практика для перезагрузки
